id,event,path,lineno,caller_path,caller_lineno,owner_with_name,hierarchy
1,call,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_handling.rb,49,(irb),7,ActiveRecord::ConnectionHandling.establish_connection,0
2,call,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/core.rb,59,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_handling.rb,56,ActiveRecord::Base.configurations,1
3,return,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/core.rb,61,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_handling.rb,56,ActiveRecord::Base.configurations,1
4,call,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_adapters/connection_specification.rb,121,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_handling.rb,56,ActiveRecord::ConnectionAdapters::ConnectionSpecification::Resolver#initialize,1
5,return,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_adapters/connection_specification.rb,123,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_handling.rb,56,ActiveRecord::ConnectionAdapters::ConnectionSpecification::Resolver#initialize,1
6,call,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_adapters/connection_specification.rb,141,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_handling.rb,57,ActiveRecord::ConnectionAdapters::ConnectionSpecification::Resolver#resolve,1
7,call,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_adapters/connection_specification.rb,238,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_adapters/connection_specification.rb,143,ActiveRecord::ConnectionAdapters::ConnectionSpecification::Resolver#resolve_connection,2
8,call,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_adapters/connection_specification.rb,268,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_adapters/connection_specification.rb,245,ActiveRecord::ConnectionAdapters::ConnectionSpecification::Resolver#resolve_hash_connection,3
9,return,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_adapters/connection_specification.rb,274,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_adapters/connection_specification.rb,245,ActiveRecord::ConnectionAdapters::ConnectionSpecification::Resolver#resolve_hash_connection,3
10,return,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_adapters/connection_specification.rb,247,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_adapters/connection_specification.rb,143,ActiveRecord::ConnectionAdapters::ConnectionSpecification::Resolver#resolve_connection,2
11,return,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_adapters/connection_specification.rb,149,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_handling.rb,57,ActiveRecord::ConnectionAdapters::ConnectionSpecification::Resolver#resolve,1
12,call,vendor/bundle/gems/activesupport-5.2.3/lib/active_support/core_ext/hash/keys.rb,56,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_handling.rb,57,Hash#symbolize_keys,1
13,return,vendor/bundle/gems/activesupport-5.2.3/lib/active_support/core_ext/hash/keys.rb,58,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_handling.rb,57,Hash#symbolize_keys,1
14,call,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/core.rb,130,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_handling.rb,60,ActiveRecord::Base.connection_handler,1
15,call,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/runtime_registry.rb,20,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/core.rb,131,ActiveRecord::RuntimeRegistry.connection_handler,2
16,call,vendor/bundle/gems/activesupport-5.2.3/lib/active_support/per_thread_registry.rb,46,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/runtime_registry.rb,20,ActiveSupport::PerThreadRegistry.instance,3
17,return,vendor/bundle/gems/activesupport-5.2.3/lib/active_support/per_thread_registry.rb,48,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/runtime_registry.rb,20,ActiveSupport::PerThreadRegistry.instance,3
18,return,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/runtime_registry.rb,20,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/core.rb,131,ActiveRecord::RuntimeRegistry.connection_handler,2
19,call,vendor/bundle/gems/activesupport-5.2.3/lib/active_support/core_ext/class/attribute.rb,106,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/core.rb,131,ActiveRecord::Base.default_connection_handler,2
20,return,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/core.rb,131,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_handling.rb,60,ActiveRecord::Base.default_connection_handler,1
21,return,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/core.rb,132,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_handling.rb,60,ActiveRecord::Base.connection_handler,1
22,call,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_adapters/abstract/connection_pool.rb,954,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_handling.rb,60,ActiveRecord::ConnectionAdapters::ConnectionHandler#establish_connection,1
23,call,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/core.rb,59,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_adapters/abstract/connection_pool.rb,955,ActiveRecord::Base.configurations,2
24,return,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/core.rb,61,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_adapters/abstract/connection_pool.rb,955,ActiveRecord::Base.configurations,2
