id,event,path,lineno,caller_path,caller_lineno,owner_with_name,hierarchy
1,call,vendor/bundle/gems/railties-5.2.3/lib/rails.rb,39,(irb),5,Rails.application,0
2,return,vendor/bundle/gems/railties-5.2.3/lib/rails.rb,41,(irb),5,Rails.application,0
3,call,vendor/bundle/gems/railties-5.2.3/lib/rails/engine.rb,522,(irb),5,Rails::Engine#call,0
4,call,vendor/bundle/gems/railties-5.2.3/lib/rails/application.rb,607,vendor/bundle/gems/railties-5.2.3/lib/rails/engine.rb,523,Rails::Application#build_request,1
5,call,vendor/bundle/gems/railties-5.2.3/lib/rails/engine.rb,705,vendor/bundle/gems/railties-5.2.3/lib/rails/application.rb,608,Rails::Application#build_request,2
6,call,vendor/bundle/gems/railties-5.2.3/lib/rails/application.rb,247,vendor/bundle/gems/railties-5.2.3/lib/rails/engine.rb,706,Rails::Application#env_config,3
7,return,vendor/bundle/gems/railties-5.2.3/lib/rails/application.rb,275,vendor/bundle/gems/railties-5.2.3/lib/rails/engine.rb,706,Rails::Application#env_config,3
8,call,vendor/bundle/gems/actionpack-5.2.3/lib/action_dispatch/http/request.rb,59,vendor/bundle/gems/railties-5.2.3/lib/rails/engine.rb,707,ActionDispatch::Request#initialize,3
9,call,vendor/bundle/gems/rack-2.0.7/lib/rack/request.rb,40,vendor/bundle/gems/actionpack-5.2.3/lib/action_dispatch/http/request.rb,60,ActionDispatch::Request#initialize,4
10,call,vendor/bundle/gems/actionpack-5.2.3/lib/action_dispatch/http/url.rb,186,vendor/bundle/gems/rack-2.0.7/lib/rack/request.rb,42,ActionDispatch::Request#initialize,5
11,call,vendor/bundle/gems/actionpack-5.2.3/lib/action_dispatch/http/filter_parameters.rb,34,vendor/bundle/gems/actionpack-5.2.3/lib/action_dispatch/http/url.rb,187,ActionDispatch::Request#initialize,6
12,return,vendor/bundle/gems/actionpack-5.2.3/lib/action_dispatch/http/filter_parameters.rb,39,vendor/bundle/gems/actionpack-5.2.3/lib/action_dispatch/http/url.rb,187,ActionDispatch::Request#initialize,6
13,return,vendor/bundle/gems/actionpack-5.2.3/lib/action_dispatch/http/url.rb,190,vendor/bundle/gems/rack-2.0.7/lib/rack/request.rb,42,ActionDispatch::Request#initialize,5
14,return,vendor/bundle/gems/rack-2.0.7/lib/rack/request.rb,43,vendor/bundle/gems/actionpack-5.2.3/lib/action_dispatch/http/request.rb,60,ActionDispatch::Request#initialize,4
15,return,vendor/bundle/gems/actionpack-5.2.3/lib/action_dispatch/http/request.rb,67,vendor/bundle/gems/railties-5.2.3/lib/rails/engine.rb,707,ActionDispatch::Request#initialize,3
16,call,vendor/bundle/gems/railties-5.2.3/lib/rails/engine.rb,534,vendor/bundle/gems/railties-5.2.3/lib/rails/engine.rb,708,Rails::Engine#routes,3
17,return,vendor/bundle/gems/railties-5.2.3/lib/rails/engine.rb,538,vendor/bundle/gems/railties-5.2.3/lib/rails/engine.rb,708,Rails::Engine#routes,3
18,call,vendor/bundle/gems/actionpack-5.2.3/lib/action_dispatch/http/request.rb,142,vendor/bundle/gems/railties-5.2.3/lib/rails/engine.rb,708,ActionDispatch::Request#routes=,3
19,call,vendor/bundle/gems/rack-2.0.7/lib/rack/request.rb,68,vendor/bundle/gems/actionpack-5.2.3/lib/action_dispatch/http/request.rb,143,Rack::Request::Env#set_header,4
20,return,vendor/bundle/gems/rack-2.0.7/lib/rack/request.rb,70,vendor/bundle/gems/actionpack-5.2.3/lib/action_dispatch/http/request.rb,143,Rack::Request::Env#set_header,4
21,return,vendor/bundle/gems/actionpack-5.2.3/lib/action_dispatch/http/request.rb,144,vendor/bundle/gems/railties-5.2.3/lib/rails/engine.rb,708,ActionDispatch::Request#routes=,3
22,call,vendor/bundle/gems/rack-2.0.7/lib/rack/request.rb,129,vendor/bundle/gems/railties-5.2.3/lib/rails/engine.rb,709,Rack::Request::Helpers#script_name,3
23,call,vendor/bundle/gems/rack-2.0.7/lib/rack/request.rb,52,vendor/bundle/gems/rack-2.0.7/lib/rack/request.rb,129,Rack::Request::Env#get_header,4
24,return,vendor/bundle/gems/rack-2.0.7/lib/rack/request.rb,54,vendor/bundle/gems/rack-2.0.7/lib/rack/request.rb,129,Rack::Request::Env#get_header,4
25,return,vendor/bundle/gems/rack-2.0.7/lib/rack/request.rb,129,vendor/bundle/gems/railties-5.2.3/lib/rails/engine.rb,709,Rack::Request::Helpers#script_name,3
26,call,vendor/bundle/gems/actionpack-5.2.3/lib/action_dispatch/http/request.rb,150,vendor/bundle/gems/railties-5.2.3/lib/rails/engine.rb,709,ActionDispatch::Request#engine_script_name=,3
27,call,vendor/bundle/gems/actionpack-5.2.3/lib/action_dispatch/http/request.rb,138,vendor/bundle/gems/actionpack-5.2.3/lib/action_dispatch/http/request.rb,151,ActionDispatch::Request#routes,4
28,call,vendor/bundle/gems/rack-2.0.7/lib/rack/request.rb,52,vendor/bundle/gems/actionpack-5.2.3/lib/action_dispatch/http/request.rb,139,Rack::Request::Env#get_header,5
29,return,vendor/bundle/gems/rack-2.0.7/lib/rack/request.rb,54,vendor/bundle/gems/actionpack-5.2.3/lib/action_dispatch/http/request.rb,139,Rack::Request::Env#get_header,5
30,return,vendor/bundle/gems/actionpack-5.2.3/lib/action_dispatch/http/request.rb,140,vendor/bundle/gems/actionpack-5.2.3/lib/action_dispatch/http/request.rb,151,ActionDispatch::Request#routes,4
31,call,vendor/bundle/gems/rack-2.0.7/lib/rack/request.rb,68,vendor/bundle/gems/actionpack-5.2.3/lib/action_dispatch/http/request.rb,151,Rack::Request::Env#set_header,4
32,return,vendor/bundle/gems/rack-2.0.7/lib/rack/request.rb,70,vendor/bundle/gems/actionpack-5.2.3/lib/action_dispatch/http/request.rb,151,Rack::Request::Env#set_header,4
33,return,vendor/bundle/gems/actionpack-5.2.3/lib/action_dispatch/http/request.rb,152,vendor/bundle/gems/railties-5.2.3/lib/rails/engine.rb,709,ActionDispatch::Request#engine_script_name=,3
