id,event,path,lineno,caller_path,caller_lineno,owner_with_name,hierarchy
1,call,vendor/bundle/gems/actionpack-5.2.3/lib/action_controller/metal/instrumentation.rb,43,app/controllers/books_controller.rb,9,ActionController::Instrumentation#render,0
2,call,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/railties/controller_runtime.rb,27,vendor/bundle/gems/actionpack-5.2.3/lib/action_controller/metal/instrumentation.rb,45,ActiveRecord::Railties::ControllerRuntime#cleanup_view_runtime,1
3,call,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_handling.rb,122,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/railties/controller_runtime.rb,28,ActiveRecord::ConnectionHandling.connected?,2
4,call,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/core.rb,130,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_handling.rb,123,ActiveRecord::Base.connection_handler,3
5,call,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/runtime_registry.rb,20,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/core.rb,131,ActiveRecord::RuntimeRegistry.connection_handler,4
6,return,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/runtime_registry.rb,20,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/core.rb,131,ActiveRecord::RuntimeRegistry.connection_handler,4
7,return,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/core.rb,131,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_handling.rb,123,ActiveRecord::Base.default_connection_handler,3
8,return,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/core.rb,132,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_handling.rb,123,ActiveRecord::Base.connection_handler,3
9,call,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_handling.rb,96,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_handling.rb,123,ActiveRecord::ConnectionHandling.connection_specification_name,3
10,return,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_handling.rb,101,vendor/bundle/gems/activerecord-5.2.3/lib/active_record/connection_handling.rb,123,ActiveRecord::ConnectionHandling.connection_specification_name,3
